QuestionID	Question	DocumentID	DocumentTitle	SentenceID	Sentence	Label
Q1	how are glacier caves formed?	D1	Glacier cave	D1-0	A partly submerged glacier cave on Perito Moreno Glacier .	0
Q1	how are glacier caves formed?	D1	Glacier cave	D1-1	The ice facade is approximately 60 m high	0
Q1	how are glacier caves formed?	D1	Glacier cave	D1-2	Ice formations in the Titlis glacier cave	0
Q1	how are glacier caves formed?	D1	Glacier cave	D1-3	A glacier cave is a cave formed within the ice of a glacier .	1
Q1	how are glacier caves formed?	D1	Glacier cave	D1-4	Glacier caves are often called ice caves , but this term is properly used to describe bedrock caves that contain year-round ice.	0
Q16	how much is 1 tablespoon of water	D16	Tablespoon	D16-0	This tablespoon has a capacity of about 15 mL.	1
Q16	how much is 1 tablespoon of water	D16	Tablespoon	D16-1	Measuring Spoons	0
Q16	how much is 1 tablespoon of water	D16	Tablespoon	D16-2	In the US and parts of Canada, a tablespoon is the largest type of spoon used for eating from a bowl.	0
Q16	how much is 1 tablespoon of water	D16	Tablespoon	D16-3	In the UK, Europe and most Commonwealth countries, a tablespoon is a type of large spoon usually used for serving.	0
Q16	how much is 1 tablespoon of water	D16	Tablespoon	D16-4	In countries where a tablespoon is a serving spoon, the nearest equivalent to the US tablespoon is either the dessert spoon or the soup spoon .	0
Q16	how much is 1 tablespoon of water	D16	Tablespoon	D16-5	A tablespoonful, nominally the capacity of one tablespoon, is commonly used as a measure of volume in cooking .	0
Q16	how much is 1 tablespoon of water	D16	Tablespoon	D16-6	It is abbreviated as T, tb, tbs, tbsp, tblsp, or tblspn.	0
Q16	how much is 1 tablespoon of water	D16	Tablespoon	D16-7	The capacity of ordinary tablespoons is not regulated by law and is subject to considerable variation.	0
Q16	how much is 1 tablespoon of water	D16	Tablespoon	D16-8	In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.	1
Q16	how much is 1 tablespoon of water	D16	Tablespoon	D16-9	In Australia one tablespoon (measurement unit) is 20 mL.	1
Q17	how much are the harry potter movies worth	D17	Harry Potter	D17-0	Harry Potter is a series of seven fantasy novels written by the British author J. K. Rowling .	0
Q17	how much are the harry potter movies worth	D17	Harry Potter	D17-1	The books chronicle the adventures of a wizard , Harry Potter , and his friends Ronald Weasley and Hermione Granger , all of whom are students at Hogwarts School of Witchcraft and Wizardry .	0
Q17	how much are the harry potter movies worth	D17	Harry Potter	D17-2	The main story arc concerns Harry's quest to overcome the Dark wizard Lord Voldemort , whose aims are to become immortal, conquer the wizarding world , subjugate non-magical people, and destroy all those who stand in his way, especially Harry Potter.	0
Q17	how much are the harry potter movies worth	D17	Harry Potter	D17-3	Since the release of the first novel Harry Potter and the Philosopher's Stone on 30 June 1997, the books have gained immense popularity, critical acclaim and commercial success worldwide.	0
Q17	how much are the harry potter movies worth	D17	Harry Potter	D17-4	The series has also had some share of criticism, including concern for the increasingly dark tone.	0
Q17	how much are the harry potter movies worth	D17	Harry Potter	D17-5	, the book series has sold about 450 million copies, making it the best-selling book series in history , and has been translated into 67 languages .	0
Q17	how much are the harry potter movies worth	D17	Harry Potter	D17-6	The last four books consecutively set records as the fastest-selling books in history.	0
Q17	how much are the harry potter movies worth	D17	Harry Potter	D17-7	A series of many genres , including fantasy and coming of age (with elements of mystery , thriller , adventure , and romance ), it has many cultural meanings and references.	0
Q17	how much are the harry potter movies worth	D17	Harry Potter	D17-8	According to Rowling, the main theme is death.	0
Q17	how much are the harry potter movies worth	D17	Harry Potter	D17-9	There are also many other themes in the series, such as prejudice and corruption.	0
Q17	how much are the harry potter movies worth	D17	Harry Potter	D17-10	The initial major publishers of the books were Bloomsbury in the United Kingdom and Scholastic Press in the United States.	0
Q17	how much are the harry potter movies worth	D17	Harry Potter	D17-11	The books have since been published by many publishers worldwide.	0
Q17	how much are the harry potter movies worth	D17	Harry Potter	D17-12	The books, with the seventh book split into two parts, have been made into an eight-part film series by Warner Bros. Pictures , the highest-grossing film series of all time.	0
Q17	how much are the harry potter movies worth	D17	Harry Potter	D17-13	The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.	1
Q17	how much are the harry potter movies worth	D17	Harry Potter	D17-14	Also due to the success of the books and films, Harry Potter has been used for a theme park, The Wizarding World of Harry Potter in Universal Parks & Resorts 's Islands of Adventure .	0
Q18	how a rocket engine works	D18	Rocket engine	D18-0	RS-68 being tested at NASA's Stennis Space Center.	0
Q18	how a rocket engine works	D18	Rocket engine	D18-1	The nearly transparent exhaust is due to this engine's exhaust being mostly superheated steam (water vapor from its propellants, hydrogen and oxygen)	0
Q18	how a rocket engine works	D18	Rocket engine	D18-2	Viking 5C rocket engine	0
Q18	how a rocket engine works	D18	Rocket engine	D18-3	A rocket engine, or simply "rocket", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .	1
Q18	how a rocket engine works	D18	Rocket engine	D18-4	Rocket engines are reaction engines and obtain thrust in accordance with Newton's third law .	0
Q18	how a rocket engine works	D18	Rocket engine	D18-5	Since they need no external material to form their jet, rocket engines can be used for spacecraft propulsion as well as terrestrial uses, such as missiles .	0
Q18	how a rocket engine works	D18	Rocket engine	D18-6	Most rocket engines are internal combustion engines , although non-combusting forms also exist.	0
Q18	how a rocket engine works	D18	Rocket engine	D18-7	Rocket engines as a group have the highest exhaust velocities, are by far the lightest, but are the least propellant efficient of all types of jet engines.	0
Q21	how are cholera and typhus transmitted and prevented	D21	Cholera	D21-0	Cholera is an infection in the small intestine caused by the bacterium Vibrio cholerae .	0
Q21	how are cholera and typhus transmitted and prevented	D21	Cholera	D21-1	The main symptoms are watery diarrhea and vomiting .	0
Q21	how are cholera and typhus transmitted and prevented	D21	Cholera	D21-2	Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.	1
Q21	how are cholera and typhus transmitted and prevented	D21	Cholera	D21-3	The severity of the diarrhea and vomiting can lead to rapid dehydration and electrolyte imbalance, and death in some cases.	0
Q21	how are cholera and typhus transmitted and prevented	D21	Cholera	D21-4	The primary treatment is oral rehydration therapy , typically with oral rehydration solution , to replace water and electrolytes.	0
Q21	how are cholera and typhus transmitted and prevented	D21	Cholera	D21-5	If this is not tolerated or does not provide improvement fast enough, intravenous fluids can also be used.	0
Q21	how are cholera and typhus transmitted and prevented	D21	Cholera	D21-6	Antibacterial drugs are beneficial in those with severe disease to shorten its duration and severity.	0
